numPersona,Genero,Edad,Estatura,Gr_sang
238,Female,40,NA,A
239,Male,42,1.84,AB
240,Male,35,1.4,O
241,Female,48,1.41,AB
242,Female,33,1.67,B
243,Male,18,NA,O
244,Female,35,NA,AB
245,Male,46,NA,A
246,Male,29,1.71,A
247,Female,19,1.49,A
248,Female,28,NA,A
249,Male,42,1.82,AB
250,Female,31,1.82,AB
251,Male,34,1.63,AB
252,Male,41,1.41,AB
253,Male,44,NA,O
254,Male,24,1.73,O
255,Male,34,1.84,A
256,Male,32,1.77,B
257,Female,36,1.65,AB
258,Male,32,NA,A
259,Male,50,NA,B
260,Male,18,NA,A
261,Female,50,1.69,AB
262,Male,33,NA,O
263,Female,21,1.86,A
264,Female,41,1.4,A
265,Female,27,1.43,O
266,Female,44,NA,O
267,Female,43,NA,A
268,Male,48,NA,B
269,Female,21,NA,B
270,Female,30,NA,O
271,Male,26,NA,B
272,Male,31,NA,A
273,Male,49,NA,O
274,Female,29,NA,A
275,Female,18,NA,B
276,Male,48,1.48,A
277,Female,20,1.79,O
278,Male,31,NA,O
279,Male,48,1.43,B
280,Male,23,NA,AB
281,Female,40,NA,AB
282,Male,36,NA,B
283,Male,33,1.85,AB
284,Female,35,NA,O
285,Female,50,1.7,O
286,Female,20,NA,O
287,Male,49,1.42,A
288,Male,29,1.55,O
289,Female,33,1.53,A
290,Female,29,NA,A
291,Male,34,1.75,O
292,Female,34,NA,O
293,Male,26,1.5,AB
294,Female,39,NA,A
295,Female,41,1.88,B
296,Male,50,1.41,A
297,Male,42,1.66,A
298,Female,24,1.67,A
299,Female,20,1.8,B
300,Male,41,1.89,AB
301,Female,20,1.67,O
302,Male,30,NA,AB
303,Female,50,NA,O
304,Female,23,1.73,A
305,Female,39,NA,B
306,Male,49,NA,O
307,Male,32,NA,AB
308,Male,50,1.55,AB
309,Female,37,1.57,B
310,Male,48,1.62,B
311,Female,18,NA,AB
312,Male,24,NA,A
313,Male,36,1.46,O
314,Female,24,1.49,O
315,Male,28,NA,A
316,Female,27,NA,AB
317,Male,29,1.67,AB
318,Male,28,NA,A
319,Female,21,1.46,O
320,Female,25,1.79,AB
321,Male,35,1.47,AB
322,Male,47,NA,O
323,Male,37,1.6,AB
324,Female,29,1.71,B
325,Female,29,1.57,O
326,Male,46,1.4,B
327,Female,29,NA,O
328,Female,41,1.62,A
329,Male,34,NA,O
330,Female,50,1.46,A
331,Female,41,1.59,O
332,Male,38,1.59,B
333,Female,25,NA,B
334,Male,27,NA,B
335,Male,36,1.89,A
336,Male,33,1.66,AB
337,Female,25,NA,A
338,Male,33,NA,B
339,Male,36,NA,B
340,Female,18,1.6,B
341,Female,23,NA,A
342,Female,24,1.6,AB
343,Female,32,NA,B
344,Female,19,NA,B
345,Female,29,NA,AB
346,Female,32,NA,AB
347,Female,20,1.45,O
348,Male,47,NA,B
349,Male,34,1.85,A
350,Male,46,NA,B
351,Male,20,1.47,B
352,Female,21,1.71,A
353,Male,22,NA,B
354,Female,43,NA,A
355,Female,45,NA,AB
356,Female,30,1.42,O
357,Male,21,1.41,B
358,Female,50,1.5,B
359,Male,44,NA,A
360,Female,26,NA,B
361,Female,18,1.52,O
362,Female,43,1.56,A
363,Female,29,NA,A
364,Female,20,1.4,B
365,Female,48,NA,B
366,Female,29,NA,AB
367,Male,47,NA,A
368,Female,41,1.9,B
369,Male,32,NA,B
370,Female,38,1.46,B
371,Female,18,NA,A
372,Male,19,1.87,AB
373,Female,41,1.68,O
374,Female,25,1.76,O
375,Male,24,NA,B
376,Male,22,NA,O
377,Female,20,1.86,A
378,Female,25,NA,B
379,Female,30,NA,B
380,Male,44,NA,A
381,Female,40,1.79,O
382,Male,36,NA,A
383,Male,36,1.85,O
384,Female,33,1.51,O
385,Female,26,1.69,A
386,Male,50,NA,B
387,Female,30,1.76,O
388,Male,29,1.41,O
389,Female,21,NA,AB
390,Male,32,1.65,B
391,Female,18,1.87,O
392,Male,24,1.71,B
393,Male,32,NA,B
394,Male,36,1.73,AB
395,Female,39,1.85,A
396,Female,24,1.53,B
397,Male,18,1.52,AB
398,Female,45,1.8,A
399,Male,25,1.82,AB
400,Male,33,1.73,O
401,Female,48,NA,A
402,Male,43,NA,B
403,Male,37,NA,B
404,Female,25,NA,O
405,Male,19,1.83,B
406,Female,31,1.62,O
407,Male,25,1.63,AB
408,Male,42,1.61,B
409,Male,31,1.87,B
410,Female,41,1.45,A
411,Male,49,NA,A
412,Male,46,1.9,B
413,Male,36,NA,O
414,Male,30,NA,B
415,Male,29,NA,O
416,Male,34,NA,A
417,Female,46,1.76,O
418,Male,23,1.86,O
419,Male,20,NA,B
420,Female,37,1.77,O
421,Male,50,NA,O
422,Female,32,NA,A
423,Female,25,1.81,A
424,Male,34,NA,O
425,Female,18,1.85,B
426,Female,27,NA,A
427,Female,40,NA,A
428,Female,32,NA,O
429,Male,38,NA,B
430,Female,49,NA,A
431,Female,30,NA,A
432,Female,34,1.75,O
433,Female,34,1.53,O
434,Female,19,1.64,A
435,Female,47,1.76,A
436,Female,36,NA,AB
437,Male,22,NA,AB
438,Female,18,NA,B
439,Male,24,NA,O
440,Female,28,1.78,AB
441,Female,39,NA,AB
442,Male,29,1.6,B
443,Female,27,NA,AB
444,Male,20,1.85,AB
445,Male,36,NA,AB
446,Female,21,1.69,O
447,Female,37,1.78,A
448,Female,45,1.5,B
449,Male,21,NA,B
450,Female,42,NA,A
451,Female,25,1.9,AB
452,Female,33,NA,A
453,Female,39,NA,B
454,Male,45,1.9,O
455,Male,23,NA,AB
456,Male,45,1.56,AB
457,Male,35,1.7,O
458,Male,20,1.58,B
459,Male,33,1.8,A
460,Female,34,NA,B
461,Female,44,1.53,A
462,Male,35,1.7,O
463,Male,18,1.87,O
464,Female,31,1.87,O
465,Female,20,1.86,B
466,Male,39,1.75,AB
467,Male,46,NA,AB
468,Male,44,NA,O
469,Female,50,1.62,A
470,Male,32,1.48,A
471,Female,48,NA,AB
472,Male,49,1.86,B
473,Male,40,NA,A
474,Female,34,1.62,B
475,Female,43,NA,AB
476,Male,20,NA,AB
477,Male,34,NA,O
478,Male,46,1.85,O
479,Female,32,NA,A
480,Male,38,NA,B
481,Male,31,NA,B
482,Male,37,1.8,B
483,Male,47,NA,AB
484,Female,47,NA,AB
485,Male,48,1.77,O
486,Female,20,NA,A
487,Female,32,1.55,A
488,Male,42,1.41,A
489,Female,34,NA,B
490,Male,50,1.56,B
491,Female,36,1.6,AB
492,Male,29,NA,O
493,Female,39,1.72,O
494,Male,28,1.81,O
495,Female,45,NA,B
496,Female,32,NA,O
497,Male,42,1.47,B
498,Male,50,1.42,O
499,Female,37,1.59,O
500,Female,18,1.59,B
501,Male,23,NA,AB
502,Female,30,NA,B
503,Male,49,1.81,AB
504,Male,31,1.9,AB
505,Female,20,NA,AB
506,Male,24,NA,A
507,Female,39,1.48,A
508,Male,29,NA,A
509,Female,49,1.45,B
510,Female,46,NA,O
511,Male,39,1.71,B
512,Female,30,NA,O
513,Female,40,NA,A
514,Female,40,1.67,A
515,Male,26,NA,A
516,Male,36,NA,AB
517,Female,25,NA,B
518,Female,18,1.88,AB
519,Female,18,1.74,A
520,Female,37,1.87,A
521,Female,44,1.58,B
522,Female,49,1.43,A
523,Female,18,NA,A
524,Female,19,NA,AB
525,Male,37,NA,O
526,Female,44,NA,B
527,Male,25,1.71,O
528,Female,18,1.6,AB
529,Female,50,NA,AB
530,Female,27,1.53,O
531,Female,26,1.43,B
532,Female,26,NA,O
533,Male,27,1.75,B
534,Male,46,NA,B
535,Male,49,1.79,AB
536,Male,39,1.65,AB
537,Male,50,NA,AB
538,Male,35,NA,O
539,Female,37,NA,A
540,Female,23,1.56,O
541,Male,20,NA,B
542,Female,42,NA,AB
543,Female,49,1.75,B
544,Male,35,NA,B
545,Male,24,NA,B
546,Male,44,NA,A
547,Female,33,NA,B
548,Female,44,1.68,B
549,Female,50,NA,AB
550,Female,32,1.43,O
551,Female,30,1.88,A
552,Male,50,NA,O
553,Male,25,1.4,B
554,Male,47,NA,AB
555,Female,31,1.54,O
556,Female,38,NA,B
557,Male,49,NA,B
558,Female,19,NA,A
559,Female,50,1.85,O
560,Female,45,NA,AB
561,Male,42,NA,B
562,Female,41,1.76,O
563,Male,48,NA,O
564,Male,24,1.7,B
565,Male,18,1.5,AB
566,Female,22,NA,O
567,Male,50,1.47,A
568,Female,48,NA,AB
569,Female,41,1.88,O
570,Male,48,NA,B
571,Male,44,1.58,O
572,Male,27,1.85,AB
573,Male,34,NA,A
574,Female,34,1.9,O
575,Female,28,1.45,A
576,Female,38,NA,B
577,Female,36,NA,B
578,Female,20,NA,B
579,Female,31,NA,AB
580,Male,40,NA,AB
581,Female,42,NA,A
582,Male,47,1.58,B
583,Female,42,1.59,AB
584,Female,31,NA,O
585,Female,27,1.74,AB
586,Male,33,NA,B
587,Female,31,NA,AB
588,Male,23,1.51,O
589,Female,30,NA,O
590,Male,35,NA,B
591,Male,38,1.65,O
592,Female,43,1.67,O
593,Male,21,1.44,AB
594,Female,38,NA,AB
595,Female,23,1.85,O
596,Female,28,NA,B
597,Male,49,NA,O
598,Female,21,1.9,O
599,Male,29,1.65,A
600,Female,20,NA,B
601,Male,20,NA,AB
602,Male,47,NA,A
603,Female,46,NA,A
604,Male,50,NA,O
605,Female,33,1.54,AB
606,Female,29,1.55,AB
607,Female,32,NA,A
608,Female,37,1.68,A
609,Male,31,NA,A
610,Male,27,NA,O
611,Female,32,NA,O
612,Male,27,1.68,B
613,Female,37,1.4,A
614,Male,32,NA,AB
615,Male,25,NA,AB
616,Female,25,NA,B
617,Male,39,1.41,O
618,Male,42,1.81,B
619,Female,29,NA,O
620,Female,28,NA,O
621,Male,41,1.83,O
622,Female,37,NA,B
623,Male,20,NA,A
624,Male,20,1.55,A
625,Female,24,1.79,A
626,Male,34,NA,AB
627,Female,41,1.72,A
628,Male,29,1.6,O
629,Male,22,1.41,A
630,Male,48,1.77,B
631,Male,19,NA,B
632,Female,35,NA,AB
633,Female,37,NA,A
634,Male,50,1.81,B
635,Female,26,1.69,B
636,Female,20,NA,AB
637,Male,42,NA,B
638,Female,26,1.83,A
639,Female,27,NA,O
640,Male,34,1.87,O
641,Female,34,NA,AB
642,Female,31,NA,AB
643,Male,39,NA,O
644,Female,23,1.43,A
645,Male,45,NA,B
646,Female,37,1.81,B
647,Male,33,1.48,O
648,Male,49,1.55,A
649,Male,47,NA,O
650,Female,39,1.49,B
651,Female,32,NA,A
652,Male,48,1.73,O
653,Male,40,NA,B
654,Male,25,1.77,A
655,Female,30,NA,AB
656,Female,28,1.59,A
657,Female,45,NA,A
658,Female,32,NA,A
659,Male,25,NA,AB
660,Male,26,NA,A
661,Female,21,1.78,O
662,Female,19,NA,B
663,Female,32,NA,AB
664,Male,25,1.83,O
665,Female,33,1.52,O
666,Male,41,1.87,AB
667,Male,35,1.46,AB
668,Male,24,NA,A
669,Male,46,NA,O
670,Female,37,NA,AB
671,Female,47,NA,A
672,Male,25,NA,O
673,Male,28,NA,O
674,Female,31,1.86,B
675,Female,22,1.43,B
676,Male,39,1.77,O
677,Male,25,NA,B
678,Female,30,1.88,AB
679,Female,27,NA,AB
680,Male,22,NA,A
681,Male,41,1.85,AB
682,Female,47,NA,A
683,Male,46,NA,B
684,Male,43,NA,A
685,Male,48,1.67,B
686,Female,46,1.85,B
687,Male,40,1.75,AB
688,Male,34,1.43,B
689,Male,45,NA,AB
690,Female,50,NA,AB
691,Male,49,NA,A
692,Female,47,1.57,O
693,Male,41,1.57,A
694,Male,50,NA,A
695,Male,50,NA,B
696,Female,39,1.44,AB
697,Female,41,NA,AB
698,Female,33,NA,O
699,Female,46,1.88,B
700,Male,28,1.7,O
701,Male,24,NA,AB
702,Female,24,NA,B
703,Male,47,NA,O
704,Male,32,NA,A
705,Male,34,NA,O
706,Male,21,NA,AB
707,Female,31,NA,A
708,Female,28,NA,O
709,Female,50,NA,B
710,Male,41,1.44,AB
711,Female,37,1.48,A
712,Male,24,NA,O
713,Male,24,NA,B
714,Male,25,1.69,AB
715,Female,29,NA,A
716,Female,50,1.73,AB
717,Female,26,NA,AB
718,Male,32,1.46,A
719,Female,33,NA,AB
720,Female,41,NA,A
721,Female,28,NA,B
722,Male,27,1.71,B
723,Female,35,NA,A
724,Female,48,NA,A
725,Male,29,NA,B
726,Female,29,1.76,AB
727,Male,36,1.67,A
728,Male,41,1.79,B
729,Male,26,1.62,A
730,Female,34,1.42,AB
731,Female,37,NA,B
732,Female,28,NA,AB
733,Female,43,NA,A
734,Male,20,NA,AB
735,Male,40,1.58,O
736,Female,30,1.65,A
737,Female,43,NA,O
738,Male,45,NA,O
739,Female,23,NA,A
740,Male,26,NA,B
741,Female,47,1.5,B
742,Female,27,1.65,A
743,Male,28,1.66,O
744,Female,34,NA,AB
745,Female,33,1.44,O
746,Male,19,1.85,B
747,Male,48,NA,AB
748,Female,41,1.64,O
749,Female,41,NA,B
750,Male,29,NA,A
751,Male,44,NA,A
752,Female,33,NA,AB
753,Female,31,1.43,A
754,Female,35,NA,O
755,Male,47,NA,AB
756,Male,46,1.89,AB
757,Male,21,NA,AB
758,Female,42,1.55,A
759,Male,33,1.44,A
760,Male,48,NA,AB
761,Male,40,NA,B
762,Female,36,1.7,AB
763,Female,26,1.79,B
764,Male,41,1.41,A
765,Female,34,NA,A
766,Male,42,1.76,B
767,Female,27,NA,A
768,Female,38,NA,A
769,Female,20,1.82,B
770,Male,18,1.47,B
771,Female,31,NA,AB
772,Male,36,1.7,AB
773,Male,34,1.85,AB
774,Female,45,1.52,AB
775,Male,48,1.45,B
776,Male,25,NA,AB
777,Female,27,NA,AB
778,Male,22,1.69,AB
779,Female,44,1.61,B
780,Female,27,1.45,AB
781,Female,42,1.83,B
782,Female,35,NA,AB
783,Male,44,1.7,O
784,Female,30,NA,B
785,Female,36,NA,B
786,Female,33,1.8,B
787,Female,33,1.83,O
788,Male,38,NA,A
789,Female,21,1.85,A
790,Male,47,NA,B
791,Male,38,NA,A
792,Female,30,NA,O
793,Male,37,NA,O
794,Male,46,NA,AB
795,Female,33,1.56,A
796,Male,43,NA,AB
797,Female,28,NA,O
798,Female,47,NA,O
799,Female,46,NA,O
800,Female,44,NA,B
801,Female,26,1.78,B
802,Male,48,1.82,AB
803,Male,26,1.47,B
804,Male,23,NA,B
805,Male,34,1.55,AB
806,Male,21,1.67,O
807,Female,37,1.62,AB
808,Female,33,NA,AB
809,Male,44,1.69,B
810,Female,32,1.78,B
811,Male,18,1.82,O
812,Male,22,1.55,A
813,Female,29,NA,A
814,Male,22,1.87,O
815,Male,29,1.79,AB
816,Male,43,1.81,AB
817,Male,25,NA,AB
818,Female,21,1.53,O
819,Male,33,NA,A
820,Male,28,NA,A
821,Female,30,1.78,AB
822,Male,21,NA,A
823,Male,42,1.78,O
824,Female,39,1.88,B
825,Male,36,1.79,O
826,Female,37,1.6,A
827,Male,38,1.67,O
828,Female,39,NA,O
829,Male,39,1.73,B
830,Female,32,1.9,B
831,Male,27,1.88,A
832,Male,24,NA,B
833,Male,48,NA,O
834,Male,27,1.56,O
835,Female,18,NA,O
836,Female,50,NA,AB
837,Female,50,NA,AB
838,Female,43,1.52,A
839,Male,41,NA,O
840,Female,27,NA,B
841,Male,47,1.58,B
842,Female,39,NA,AB
843,Female,28,NA,O
844,Female,32,NA,A
845,Male,26,1.61,A
846,Female,44,1.41,O
847,Female,39,1.48,A
848,Female,30,NA,B
849,Male,41,NA,O
850,Female,33,NA,A
851,Male,20,1.54,O
852,Female,22,1.4,A
853,Female,48,NA,B
854,Male,40,1.84,B
855,Female,23,NA,O
856,Male,49,1.65,B
857,Female,36,NA,O
858,Male,50,NA,O
859,Male,42,1.7,O
860,Male,43,NA,O
861,Male,30,1.7,O
862,Male,20,1.51,A
863,Male,38,NA,AB
864,Male,40,1.67,B
865,Male,31,NA,B
866,Female,20,NA,A
867,Male,46,NA,O
868,Male,34,NA,B
869,Male,40,NA,A
870,Female,26,NA,O
871,Male,21,1.76,A
872,Male,47,1.71,B
873,Male,33,1.67,B
874,Male,20,1.75,A
875,Male,47,1.84,O
876,Male,48,1.78,AB
877,Male,48,1.7,A
878,Female,47,1.69,A
879,Male,28,NA,B
880,Female,18,1.43,AB
881,Male,29,NA,B
882,Female,41,1.56,AB
883,Female,23,NA,A
884,Female,26,1.9,O
885,Male,50,1.89,A
886,Male,49,1.57,AB
887,Male,40,1.81,O
888,Female,28,NA,O
889,Male,33,NA,AB
890,Female,27,NA,B
891,Male,32,NA,B
892,Male,39,1.66,O
893,Female,22,NA,O
894,Male,24,1.42,AB
895,Female,37,NA,AB
896,Female,50,NA,AB
897,Male,18,NA,AB
898,Male,36,1.7,O
899,Male,37,1.56,A
900,Female,41,NA,A
901,Female,18,NA,B
902,Male,22,1.63,O
903,Female,22,NA,AB
904,Male,20,NA,A
905,Male,31,1.77,B
906,Female,20,1.45,B
907,Male,41,1.45,A
908,Female,50,NA,O
909,Female,40,1.77,B
910,Male,26,1.69,O
911,Male,40,NA,B
912,Male,50,1.59,A
913,Female,31,NA,AB
914,Female,38,1.71,A
915,Male,27,1.75,A
916,Male,35,1.84,AB
917,Female,39,1.67,A
918,Female,40,NA,A
919,Female,18,1.49,A
920,Female,46,1.87,B
921,Male,49,1.75,AB
922,Female,50,NA,A
923,Male,36,1.54,B
924,Male,49,NA,A
925,Female,34,1.65,O
926,Male,38,1.4,AB
927,Female,32,NA,B
928,Male,18,NA,O
929,Male,21,1.49,B
930,Male,27,NA,B
931,Male,46,1.63,AB
932,Female,34,1.75,AB
933,Male,38,1.51,A
934,Female,37,1.75,AB
935,Female,38,1.59,AB
936,Male,24,NA,AB
937,Female,49,1.81,A
938,Female,27,NA,AB
939,Male,36,NA,AB
940,Male,23,NA,AB
941,Female,38,1.88,A
942,Male,39,1.59,AB
943,Male,36,NA,AB
944,Male,27,1.43,AB
945,Male,48,1.71,A
946,Female,36,NA,A
947,Male,31,NA,B
948,Female,27,NA,A
949,Male,43,NA,A
950,Female,20,NA,B
951,Female,48,1.65,O
952,Male,43,NA,AB
953,Female,18,1.77,A
954,Female,42,NA,A
955,Female,44,NA,A
956,Male,26,1.48,A
957,Female,47,NA,AB
958,Female,19,1.7,AB
959,Female,27,1.41,B
960,Male,41,NA,O
961,Female,33,NA,A
962,Female,42,NA,O
963,Female,28,1.57,B
964,Female,42,NA,O
965,Male,36,1.65,O
966,Female,36,NA,O
967,Male,21,NA,AB
968,Male,37,NA,O
969,Male,29,NA,A
970,Male,31,NA,AB
971,Male,18,1.42,B
972,Male,20,NA,B
973,Female,20,1.77,AB
974,Male,49,1.9,B
975,Male,23,1.79,O
976,Female,29,NA,O
977,Male,48,1.81,AB
978,Male,32,1.9,O
979,Female,35,NA,O
980,Female,25,1.79,B
981,Female,19,1.85,A
982,Female,35,1.85,O
983,Female,24,NA,A
984,Female,50,1.78,AB
985,Male,40,NA,O
986,Female,40,1.82,A
987,Male,32,NA,A
988,Female,19,NA,A
989,Male,37,1.43,AB
990,Female,18,NA,O
991,Male,21,NA,AB
992,Female,33,NA,B
993,Male,42,1.62,B
994,Male,35,NA,A
995,Female,26,NA,O
996,Female,45,NA,A
997,Female,38,1.75,O
998,Female,25,1.44,O
999,Female,38,NA,AB
1000,Female,45,1.84,B
